                                    sIP|                                    dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sen|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|62799|   53| 17|         1|        91|        |2015/04/10T13:47:48.944|    0.000|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                        2001:500:60::30| 9649|   53| 17|         1|        91|        |2015/04/10T13:47:49.044|    0.200|2015/04/10T13:47:49.244|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|39430|   53| 17|         1|        90|        |2015/04/10T13:47:48.894|    0.050|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|37830|   53| 17|         1|        90|        |2015/04/10T13:47:48.894|    0.050|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|58751|   53| 17|         1|        90|        |2015/04/10T13:47:48.944|    0.000|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|14198|   53| 17|         1|        90|        |2015/04/10T13:47:48.944|    0.000|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|18798|   53| 17|         1|        90|        |2015/04/10T13:47:48.944|    0.000|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|32315|   53| 17|         1|        93|        |2015/04/10T13:47:48.944|    0.000|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                         2001:67c:e0::3|43469|   53| 17|         1|        93|        |2015/04/10T13:47:48.944|    0.000|2015/04/10T13:47:48.944|  0|
  2607:2000:100:116:a100:3780:4e66:e60a|                        2001:500:60::30|48629|   53| 17|         1|        91|        |2015/04/10T13:47:48.994|    0.250|2015/04/10T13:47:49.244|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                   2001:500:1::803f:235|37826|   53| 17|         1|        75|        |2015/04/10T13:47:50.516|    0.250|2015/04/10T13:47:50.766|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                            2001:7fd::1|59250|   53| 17|         1|        80|        |2015/04/10T13:47:51.666|    0.100|2015/04/10T13:47:51.766|  0|
              fe80::1a03:73ff:fe27:77ee|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T13:47:53.026|    0.250|2015/04/10T13:47:53.276|  0|
              fe80::baca:3aff:fe84:1db7|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T13:47:53.826|    0.200|2015/04/10T13:47:54.026|  0|
  2607:2000:100:116:1888:6092:2000:2052|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T13:47:56.336|    0.050|2015/04/10T13:47:56.386|  0|
   2607:2000:100:116:f132:facf:a87d:6c3|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T13:47:56.336|    0.050|2015/04/10T13:47:56.386|  0|
  2607:2000:100:116:e9f5:a850:8fcf:ba58|                 2607:f8b0:4002:c03::10|40412|  993|  6|        20|      1838|        |2015/04/10T13:47:55.516|    3.700|2015/04/10T13:47:59.216|  0|
   2607:2000:100:116:d6ae:52ff:fec1:9de|               2607:f8b0:4008:808::200e|34696|  443|  6|        23|      4637|        |2015/04/10T13:50:12.918|  176.850|2015/04/10T13:53:09.768|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                            2001:7fd::1|20498|33434| 17|        24|      2112|        |2015/04/10T13:48:13.666|   12.400|2015/04/10T13:48:26.066|  0|
   2607:2000:100:116:25a7:dbb7:884:f0d0|   2606:2800:11f:179a:1972:2405:35b:459|54944|   80|  6|         6|       646|        |2015/04/10T13:52:30.168|   60.600|2015/04/10T13:53:30.768|  0|
   2607:2000:100:116:25a7:dbb7:884:f0d0|               2607:f870:0:3::cfa6:780a|54945|   80|  6|         8|      1564|        |2015/04/10T13:52:30.318|   69.650|2015/04/10T13:53:39.968|  0|
   2607:2000:100:116:25a7:dbb7:884:f0d0|               2607:f8b0:4008:808::200e|54946|   80|  6|         6|       588|        |2015/04/10T13:52:30.768|   69.200|2015/04/10T13:53:39.968|  0|
  2607:2000:100:116:92e2:baff:fe68:7d59|                     2001:18e8:2:6::147|33804| 8880|  6|         2|       160|        |2015/04/10T13:48:41.636|    1.000|2015/04/10T13:48:42.636|  0|
              fe80::92e2:baff:fe68:7d59|              fe80::d2c7:89ff:fea9:4880|    0|34560| 58|         1|        72|        |2015/04/10T13:48:46.676|    0.100|2015/04/10T13:48:46.776|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                      2620:98:4000:8::1|56056|  123| 17|         1|        96|        |2015/04/10T13:48:50.882|    0.200|2015/04/10T13:48:51.082|  0|
              fe80::92e2:baff:fe68:7d59|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T13:48:51.732|    0.100|2015/04/10T13:48:51.832|  0|
  2607:2000:100:116:92e2:baff:fe68:7d59|              fe80::d2c7:89ff:fea9:4880|    0|34816| 58|         1|        64|        |2015/04/10T13:48:56.336|    0.150|2015/04/10T13:48:56.486|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                            2001:7fd::1|36957|   53| 17|         1|        79|        |2015/04/10T13:48:58.744|    0.200|2015/04/10T13:48:58.944|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                           2001:7fe::53|41040|   53| 17|         1|        79|        |2015/04/10T13:49:09.182|    0.050|2015/04/10T13:49:09.232|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2f::f|53728|   53| 17|         1|        79|        |2015/04/10T13:49:16.076|    0.150|2015/04/10T13:49:16.226|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:3::42|40400|   53| 17|         1|        79|        |2015/04/10T13:49:21.926|    0.150|2015/04/10T13:49:22.076|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                           2001:dc3::35|38753|   53| 17|         1|        79|        |2015/04/10T13:49:25.786|    0.100|2015/04/10T13:49:25.886|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2d::d|35311|   53| 17|         1|        79|        |2015/04/10T13:49:32.786|    0.050|2015/04/10T13:49:32.836|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|   22|57535|  6|         4|      1157|        |2015/04/10T13:49:31.436|    0.100|2015/04/10T13:49:31.536|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|  2607:2000:100:116:92e2:baff:fe5a:7ded|57721|   22|  6|         6|       450|        |2015/04/10T13:54:32.118|    0.100|2015/04/10T13:54:32.218|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                   2001:500:1::803f:235|50422|   53| 17|         1|        79|        |2015/04/10T13:49:40.644|    0.000|2015/04/10T13:49:40.644|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                          2001:500:2::c|39010|   53| 17|         1|        79|        |2015/04/10T13:49:41.048|    0.100|2015/04/10T13:49:41.148|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:84::b|59050|   53| 17|         1|        79|        |2015/04/10T13:49:41.648|    0.050|2015/04/10T13:49:41.698|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|  2607:2000:100:116:92e2:baff:fe5a:7ded|56319|  443|  6|         9|      1130|        |2015/04/10T13:54:44.398|    0.150|2015/04/10T13:54:44.548|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|   80|57135|  6|         5|       959|        |2015/04/10T13:54:44.448|    0.100|2015/04/10T13:54:44.548|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|  443|56319|  6|         9|      2563|        |2015/04/10T13:54:45.118|    0.150|2015/04/10T13:54:45.268|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|  2607:2000:100:116:92e2:baff:fe5a:7ded|57135|   80|  6|         5|       488|        |2015/04/10T13:54:45.168|    0.100|2015/04/10T13:54:45.268|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                     2001:503:c27::2:30|43461|   53| 17|         1|        79|        |2015/04/10T13:49:54.294|    0.200|2015/04/10T13:49:54.494|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:2f::f|20499|33434| 17|        33|      2904|        |2015/04/10T13:49:40.344|   16.950|2015/04/10T13:49:57.294|  0|
    2607:2000:100:116:c24a:ff:fe09:49a8|                         2001:500:3::42|60792|   53| 17|         1|        80|        |2015/04/10T13:49:59.344|    0.250|2015/04/10T13:49:59.594|  0|
   2002:8891:e71f:8:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|   80|45963|  6|         5|       959|        |2015/04/10T13:54:59.394|    0.250|2015/04/10T13:54:59.644|  0|
